rec_num,alpha_id,draw,m1,m2,m3,m4,m5,b1,count,date1,date2
1,health,1,4,7,35,36,46,0,1, 8 October 2011  , 8 October 2011  
2,health,2,7,19,21,27,49,0,1, 15 October 2011, 15 October 2011
3,health,3,5,39,41,42,44,0,1, 22 October 2011, 22 October 2011
4,health,4,5,8,15,18,30,0,1, 29 October 2011, 29 October 2011
5,health,5,5,8,21,39,44,0,1, 5 November 2011, 5 November 2011
6,health,6,5,9,14,15,18,0,1, 12 November 2011, 12 November 2011
7,health,7,14,15,33,42,43,0,1, 19 November 2011, 19 November 2011
8,health,8,7,27,34,39,43,0,1, 26 November 2011, 26 November 2011
9,health,9,3,7,11,25,34,0,1, 3 December 2011, 3 December 2011
10,health,10,5,7,21,45,47,0,1, 10 December 2011, 10 December 2011
11,health,11,3,4,20,26,28,0,1, 17 December 2011, 17 December 2011
12,health,12,6,30,32,43,48,0,1, 24 December 2011, 24 December 2011
13,health,13,18,25,35,38,39,0,1, 31 December 2011, 31 December 2011
14,health,14,1,6,16,37,44,0,1, 7 January 2012, 7 January 2012
15,health,15,5,14,29,41,48,0,1, 14 January 2012, 14 January 2012
16,health,16,7,14,15,31,38,0,1, 21 January 2012, 21 January 2012
17,health,17,10,16,19,24,30,0,1, 28 January 2012, 28 January 2012
18,health,18,1,6,7,26,28,0,1, 4 February 2012, 4 February 2012
19,health,19,25,29,33,39,41,0,1, 11 February 2012, 11 February 2012
20,health,20,10,11,14,21,31,0,1, 18 February 2012, 18 February 2012
21,health,21,7,10,14,22,24,0,1, 25 February 2012, 25 February 2012
22,health,22,2,15,19,32,42,0,1, 3 March 2012, 3 March 2012
23,health,23,5,11,17,20,24,0,1, 10 March 2012, 10 March 2012
24,health,24,8,15,34,35,43,0,1, 17 March 2012, 17 March 2012
25,health,25,1,2,6,10,42,0,1, 24 March 2012, 24 March 2012
26,health,26,13,31,37,40,47,0,1, 31 March 2012, 31 March 2012
27,health,27,4,18,20,30,31,0,1, 7 April 2012, 7 April 2012
28,health,28,2,5,6,30,38,0,1, 14 April 2012, 14 April 2012
29,health,29,11,26,28,31,45,0,1, 21 April 2012, 21 April 2012
30,health,30,7,17,27,39,41,0,1, 28 April 2012, 28 April 2012
31,health,31,7,27,29,36,42,0,1, 5 May 2012, 5 May 2012
32,health,32,8,21,32,37,41,0,1, 12 May 2012, 12 May 2012
33,health,33,2,3,21,25,30,0,1, 19 May 2012, 19 May 2012
34,health,34,23,34,37,38,41,0,1, 26 May 2012, 26 May 2012
35,health,35,4,30,36,37,49,0,1, 2 June 2012, 2 June 2012
36,health,36,1,2,22,30,32,0,1, 9 June 2012, 9 June 2012
37,health,37,1,11,18,33,47,0,1, 16 June 2012, 16 June 2012
38,health,38,16,25,28,32,34,0,1, 23 June 2012, 23 June 2012
39,health,39,1,6,13,19,23,0,1, 30 June 2012, 30 June 2012
40,health,40,14,21,22,30,33,0,1, 7 July 2012, 7 July 2012
41,health,41,7,13,29,33,36,0,1, 14 July 2012, 14 July 2012
42,health,42,1,6,17,23,35,0,1, 21 July 2012, 21 July 2012
43,health,43,5,11,31,35,45,0,1, 28 July 2012, 28 July 2012
44,health,44,19,24,27,41,42,0,1, 4 August 2012, 4 August 2012
45,health,45,1,7,22,30,41,0,1, 11 August 2012, 11 August 2012
46,health,46,24,35,40,45,49,0,1, 18 August 2012, 18 August 2012
47,health,47,1,7,37,43,50,0,1, 25 August 2012, 25 August 2012
48,health,48,4,14,31,35,42,0,1, 1 September 2012, 1 September 2012
49,health,49,15,33,41,48,50,0,1, 8 September 2012, 8 September 2012
50,health,50,2,8,24,27,28,0,1, 15 September 2012, 15 September 2012
51,health,51,5,9,15,22,26,0,1, 22 September 2012, 22 September 2012
52,health,52,11,14,17,34,44,0,1, 29 September 2012, 29 September 2012
53,health,53,3,12,37,38,48,0,1, 6 October 2012, 6 October 2012
54,health,54,2,4,9,10,21,0,1, 13 October 2012, 13 October 2012
55,health,55,1,2,5,8,10,0,1, 17 October 2012, 17 October 2012
56,health,56,1,24,26,38,42,0,1, 20 October 2012, 20 October 2012
57,health,57,13,31,37,42,50,0,1, 24 October 2012, 24 October 2012
58,health,58,7,22,30,32,39,0,1, 27 October 2012, 27 October 2012
59,health,59,22,24,32,35,44,0,1, 31 October 2012, 31 October 2012
60,health,60,8,25,38,40,42,0,1, 3 November 2012, 3 November 2012
61,health,61,4,10,15,33,45,0,1, 7 November 2012, 7 November 2012
62,health,62,3,10,24,29,36,0,1, 10 November 2012, 10 November 2012
63,health,63,7,16,24,27,43,0,1, 14 November 2012, 14 November 2012
64,health,64,14,20,28,42,44,0,1, 17 November 2012, 17 November 2012
65,health,65,9,13,16,22,50,0,1, 21 November 2012, 21 November 2012
66,health,66,1,2,4,18,28,0,1, 24 November 2012, 24 November 2012
67,health,67,10,19,25,29,48,0,1, 28 November 2012, 28 November 2012
68,health,68,20,34,38,45,49,0,1, 1 December 2012, 1 December 2012
69,health,69,7,22,32,33,46,0,1, 5 December 2012, 5 December 2012
70,health,70,1,16,19,46,49,0,1, 8 December 2012, 8 December 2012
71,health,71,11,19,21,26,35,0,1, 12 December 2012, 12 December 2012
72,health,72,1,2,16,20,29,0,1, 15 December 2012, 15 December 2012
73,health,73,5,9,23,34,44,0,1, 19 December 2012, 19 December 2012
74,health,74,6,13,18,19,25,0,1, 22 December 2012, 22 December 2012
75,health,75,19,20,28,43,48,0,1, 26 December 2012, 26 December 2012
76,health,76,1,9,13,20,47,0,1, 29 December 2012, 29 December 2012
77,health,77,3,13,18,31,44,0,1, 2 January 2013, 2 January 2013
78,health,78,4,19,28,29,43,0,1, 5 January 2013, 5 January 2013
79,health,79,9,34,38,42,43,0,1, 9 January 2013, 9 January 2013
80,health,80,8,16,29,41,46,0,1, 12 January 2013, 12 January 2013
81,health,81,1,12,31,40,47,0,1, 16 January 2013, 16 January 2013
82,health,82,14,23,30,33,34,0,1, 19 January 2013, 19 January 2013
83,health,83,5,11,23,30,46,0,1, 23 January 2013, 23 January 2013
84,health,84,1,9,14,16,30,0,1, 26 January 2013, 26 January 2013
85,health,85,5,18,36,37,43,0,1, 30 January 2013, 30 January 2013
86,health,86,1,23,25,35,39,0,1, 2 February 2013, 2 February 2013
